timestamp,src_ip,dst_ip,src_port,dst_port,flags,label
1679604723.8879967,52.159.49.199,192.168.0.41,443,52039,A,normal
1679604731.0694594,31.13.84.8,192.168.0.41,443,62951,A,normal
1679604731.0728748,31.13.84.8,192.168.0.41,443,62951,A,normal
1679604731.0758755,31.13.84.8,192.168.0.41,443,62951,A,normal
1679604731.0799072,31.13.84.8,192.168.0.41,443,62951,A,normal
1679604731.0849097,31.13.84.8,192.168.0.41,443,62951,PA,normal
1679604732.031878,80.80.160.9,192.168.0.41,53,53113,SA,malicious
1679604733.0861511,31.13.84.51,192.168.0.41,443,52602,PA,normal
1679604733.5534894,52.159.49.199,192.168.0.41,443,52039,A,normal
1679604733.5942588,52.159.49.199,192.168.0.41,443,52039,A,normal
1679604733.6042671,52.159.49.199,192.168.0.41,443,52039,PA,normal
1679604734.0767705,80.80.160.9,192.168.0.41,53,53113,SA,malicious
1679604738.1013713,80.80.160.9,192.168.0.41,53,53113,SA,malicious
1679604741.8100333,137.135.225.146,192.168.0.41,443,63042,PA,normal
1679604746.091467,31.13.84.8,192.168.0.41,443,62951,PA,normal
1679604751.9775884,52.159.49.199,192.168.0.41,443,63255,A,normal
1679604753.0371208,20.199.120.182,192.168.0.41,443,61557,PA,normal
1679604765.0899146,31.13.84.51,192.168.0.41,443,52602,A,normal
1679604765.0941398,31.13.84.51,192.168.0.41,443,52602,A,normal
1679604765.0978646,31.13.84.8,192.168.0.41,443,62951,A,normal
1679604765.101124,31.13.84.8,192.168.0.41,443,62951,A,normal
1679604765.104198,31.13.84.8,192.168.0.41,443,62951,A,normal
1679604765.1072137,31.13.84.51,192.168.0.41,443,52602,A,normal
1679604765.109864,31.13.84.8,192.168.0.41,443,62951,A,normal
1679604765.1338673,31.13.84.8,192.168.0.41,443,62951,PA,normal
1679604765.1368651,31.13.84.51,192.168.0.41,443,52602,PA,normal
1679604766.8807669,140.82.114.25,192.168.0.41,443,52750,A,normal
1679604778.7322235,52.159.49.199,192.168.0.41,443,52039,A,normal
1679604781.093589,31.13.84.8,192.168.0.41,443,62951,PA,normal
1679604781.6242716,140.82.114.25,192.168.0.41,443,52750,PA,normal
1679604781.7453158,140.82.114.25,192.168.0.41,443,52750,A,normal
1679604783.087563,31.13.84.51,192.168.0.41,443,52602,PA,normal
1679604788.3898993,52.159.49.199,192.168.0.41,443,63255,PA,normal
1679604788.5679054,52.159.49.199,192.168.0.41,443,63255,A,normal
1679604788.784828,52.159.49.199,192.168.0.41,443,63255,A,normal
1679604790.8896334,20.50.80.210,192.168.0.41,443,53172,SA,malicious
1679604790.9506419,20.50.80.210,192.168.0.41,443,53172,A,normal
1679604790.9576395,20.50.80.210,192.168.0.41,443,53172,A,normal
1679604790.9646065,20.50.80.210,192.168.0.41,443,53172,A,normal
1679604790.9719322,20.50.80.210,192.168.0.41,443,53172,A,normal
1679604790.9785993,20.50.80.210,192.168.0.41,443,53172,PA,normal
1679604791.0286186,20.50.80.210,192.168.0.41,443,53172,PA,normal
1679604791.0962646,20.50.80.210,192.168.0.41,443,53172,A,normal
1679604791.144688,20.50.80.210,192.168.0.41,443,53172,PA,normal
1679604796.8810115,137.135.225.146,192.168.0.41,443,63042,PA,normal
1679604797.0848217,31.13.84.8,192.168.0.41,443,62951,PA,normal
1679604801.2755375,20.199.120.182,192.168.0.41,443,61557,A,normal
1679604801.2788613,20.199.120.182,192.168.0.41,443,61557,A,normal
1679604801.2826464,20.199.120.182,192.168.0.41,443,61557,A,normal
1679604801.2855356,20.199.120.182,192.168.0.41,443,61557,PA,normal
1679604801.2885695,20.199.120.182,192.168.0.41,443,61557,A,normal
1679604805.0843213,31.13.84.51,192.168.0.41,443,52602,PA,normal
1679604813.0920177,31.13.84.8,192.168.0.41,443,62951,PA,normal
1679604821.0835967,31.13.84.51,192.168.0.41,443,52602,PA,normal
1679604823.9094815,52.159.49.199,192.168.0.41,443,52039,A,normal
1679604826.8744674,140.82.114.25,192.168.0.41,443,52750,A,normal
1679604829.09435,31.13.84.8,192.168.0.41,443,62951,PA,normal
1679604835.5315328,20.199.120.151,192.168.0.41,443,63459,PA,normal
1679604835.6006062,52.159.49.199,192.168.0.41,443,52039,A,normal
1679604835.603608,52.159.49.199,192.168.0.41,443,52039,A,normal
1679604835.6116107,52.159.49.199,192.168.0.41,443,52039,A,normal
1679604835.618607,52.159.49.199,192.168.0.41,443,63255,A,normal
1679604835.6486077,52.159.49.199,192.168.0.41,443,52039,A,normal
1679604835.6516082,52.159.49.199,192.168.0.41,443,52039,PA,normal
1679604835.6546078,52.159.49.199,192.168.0.41,443,52039,A,normal
1679604835.6646075,20.199.120.151,192.168.0.41,443,63459,A,normal
1679604835.7309349,40.99.150.34,192.168.0.41,443,53196,SA,malicious
1679604835.7751825,40.99.150.34,192.168.0.41,443,53196,A,normal
1679604835.7792668,40.99.150.34,192.168.0.41,443,53196,A,normal
1679604835.7841763,40.99.150.34,192.168.0.41,443,53196,A,normal
1679604835.8189285,40.99.150.34,192.168.0.41,443,53196,PA,normal
1679604835.825982,40.99.150.34,192.168.0.41,443,53196,PA,normal
1679604835.8604226,40.99.150.34,192.168.0.41,443,53196,A,normal
1679604835.9053073,40.99.150.34,192.168.0.41,443,53196,A,normal
1679604835.9107733,40.99.150.34,192.168.0.41,443,53196,PA,normal
1679604835.9632356,40.99.150.34,192.168.0.41,443,53196,PA,normal
1679604835.9722834,40.99.150.34,192.168.0.41,443,53196,PA,normal
1679604835.9782326,40.99.150.34,192.168.0.41,443,53196,PA,normal
1679604835.9832346,40.99.150.34,192.168.0.41,443,53196,PA,normal
1679604835.9930751,40.99.150.34,192.168.0.41,443,53196,PA,normal
1679604835.9960725,40.99.150.34,192.168.0.41,443,53196,PA,normal
1679604836.0003018,40.99.150.34,192.168.0.41,443,53196,PA,normal
1679604836.0040717,40.99.150.34,192.168.0.41,443,53196,PA,normal
1679604836.0063453,40.99.150.34,192.168.0.41,443,53196,PA,normal
1679604836.0100782,40.99.150.34,192.168.0.41,443,53196,A,normal
1679604836.0131044,40.99.150.34,192.168.0.41,443,53196,PA,normal
1679604836.0150642,40.99.150.34,192.168.0.41,443,53196,PA,normal
1679604836.0170722,40.99.150.34,192.168.0.41,443,53196,PA,normal
1679604836.020072,40.99.150.34,192.168.0.41,443,53196,A,normal
1679604836.022183,40.99.150.34,192.168.0.41,443,53196,PA,normal
1679604836.025072,40.99.150.34,192.168.0.41,443,53196,A,normal
1679604836.0270698,40.99.150.34,192.168.0.41,443,53196,PA,normal
1679604836.0300992,40.99.150.34,192.168.0.41,443,53196,PA,normal
1679604836.0321023,40.99.150.34,192.168.0.41,443,53196,A,normal
1679604836.0340707,40.99.150.34,192.168.0.41,443,53196,PA,normal
1679604836.0361013,40.99.150.34,192.168.0.41,443,53196,PA,normal
1679604836.0400743,40.99.150.34,192.168.0.41,443,53196,A,normal
1679604836.0421286,40.99.150.34,192.168.0.41,443,53196,PA,normal
1679604836.0450733,40.99.150.34,192.168.0.41,443,53196,A,normal
1679604836.0480733,40.99.150.34,192.168.0.41,443,53196,PA,normal
1679604836.0500882,40.99.150.34,192.168.0.41,443,53196,PA,normal
1679604836.0520701,40.99.150.34,192.168.0.41,443,53196,PA,normal
1679604836.0550709,40.99.150.34,192.168.0.41,443,53196,A,normal
1679604836.0570786,40.99.150.34,192.168.0.41,443,53196,PA,normal
1679604836.0600727,40.99.150.34,192.168.0.41,443,53196,A,normal
1679604836.0620725,40.99.150.34,192.168.0.41,443,53196,PA,normal
1679604836.0644991,40.99.150.34,192.168.0.41,443,53196,PA,normal
1679604836.0670743,40.99.150.34,192.168.0.41,443,53196,PA,normal
1679604836.070087,40.99.150.34,192.168.0.41,443,53196,A,normal
1679604836.072075,40.99.150.34,192.168.0.41,443,53196,PA,normal
1679604836.0780735,40.99.150.34,192.168.0.41,443,53196,A,normal
1679604836.0802314,40.99.150.34,192.168.0.41,443,53196,A,normal
1679604836.0830715,40.99.150.34,192.168.0.41,443,53196,A,normal
1679604836.085078,40.99.150.34,192.168.0.41,443,53196,A,normal
1679604836.088073,40.99.150.34,192.168.0.41,443,53196,A,normal
1679604836.0920734,40.99.150.34,192.168.0.41,443,53196,A,normal
1679604836.095104,40.99.150.34,192.168.0.41,443,53196,A,normal
1679604836.0980775,40.99.150.34,192.168.0.41,443,53196,A,normal
1679604836.1020744,40.99.150.34,192.168.0.41,443,53196,PA,normal
1679604836.1050727,40.99.150.34,192.168.0.41,443,53196,A,normal
1679604836.1080725,40.99.150.34,192.168.0.41,443,53196,A,normal
